"Stage","Group","gene_count","mean_TPM","median_TPM","mean_logTPM","median_logTPM","q1_logTPM","q3_logTPM","species","species_prefix"
"2_cell","K27only",3304,8.03167543311138,0,0.567579588976606,0,0,0.0213852015486768,"Mouse","mouse1"
"2_cell","K4only",14818,33.7257710943447,1.072715,2.28072372504232,1.05152164406072,0,4.32606269395176,"Mouse","mouse1"
"2_cell","bivalent",2512,4.94860487977707,0,0.579325763581301,0,0,0.0559043292854036,"Mouse","mouse1"
"4_cell","K27only",4408,2.01255191084392,0.023676,0.340016101305735,0.0337591653780035,0,0.0980354524359833,"Mouse","mouse1"
"4_cell","K4only",16027,30.4925611308417,0.320061,1.96169021564732,0.400604598041397,0.0321445819073387,3.6889353912525,"Mouse","mouse1"
"4_cell","bivalent",1023,2.88506735190616,0.030913,0.503899911987523,0.0439225870565862,0.0106273232850627,0.155010808462165,"Mouse","mouse1"
"8_cell","K27only",4144,1.95311570728764,0,0.31747881697589,0,0,0.0670685154467033,"Mouse","mouse1"
"8_cell","K4only",15015,26.8314742441558,1.38143,2.11186870837846,1.25182814259776,0.0386946348123846,3.6390526833109,"Mouse","mouse1"
"8_cell","bivalent",1307,2.14427522341239,0.009544,0.521962054118539,0.0137037905093592,0,0.431085328500011,"Mouse","mouse1"
"morula","K27only",3602,1.35378095669073,0,0.31702556183263,0,0,0.073891160281389,"Mouse","mouse1"
"morula","K4only",15589,27.5174041306691,1.33494,2.03989147202747,1.22338547806572,0.0546067923128095,3.46837478232777,"Mouse","mouse1"
"morula","bivalent",1307,12.2121171415455,0.013668,0.682930656215046,0.0195852133050252,0,0.58497734134796,"Mouse","mouse1"
"ICM","K27only",5109,1.87482899060482,0,0.34136779608433,0,0,0.0526913293978834,"Mouse","mouse1"
"ICM","K4only",13498,27.0984136578012,2.06287,2.14962327936934,1.61488413407916,0.0540211623695614,3.54804197164797,"Mouse","mouse1"
"ICM","bivalent",2047,3.54319656863703,0.017195,0.677120552840538,0.0245962756218473,0,0.70982461824377,"Mouse","mouse1"
"TE","K27only",4885,2.1131015408393,0,0.330706117925883,0,0,0.0163151693539389,"Mouse","mouse1"
"TE","K4only",14068,33.526304342124,1.5075,2.12948172401581,1.32624970055064,0.0150989462362669,3.62373227577839,"Mouse","mouse1"
"TE","bivalent",2110,5.30025946587678,0,0.555195509374584,0,0,0.318213976319678,"Mouse","mouse1"
